rep,Activity ID,Activity Date,Activity Name,sport,Activity Description,duration,distance,Max Heart Rate...8,relative_effort,Commute...10,Activity Gear,Athlete Weight,Bike Weight,Elapsed Time...15,Moving Time,Distance...17,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Average Cadence,Max Cadence,Max Heart Rate...30,Average Heart Rate,Max Watts,Calories,Max Temperature,Average Temperature,Relative Effort...37,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute...48,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,duration_mins,relative_effort_min,year
11,770894435,"Oct 31, 2016, 5:28:47 PM",Balboa Building - Montecito,Run,Via RunGap,4195,10.350000000000001,165,23,FALSE,NA,64.5800018310547,NA,4195,4015,10351,5.90000009536743,NA,12.4637680053711,NA,1.39999997615814,14.5,11.3000001907349,0.00289827072992921,NA,NA,78.6162490844727,93,165,141.128601074219,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.91666666666667,0.32896305125148984,2016
12,770894498,"Oct 30, 2016, 3:06:44 PM",Santa Barbara - Montecito,Run,Via RunGap,4085,9.96,158,21,FALSE,NA,64.5800018310547,NA,4085,4074,9959.5,4.59999990463257,NA,17.4272727966309,NA,1.39999997615814,19.2000007629395,13.1000003814697,0.00602439884096384,NA,NA,77.8803100585938,96,158,140.428573608398,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.08333333333333,0.3084455324357405,2016
13,770894511,"Oct 27, 2016, 10:31:30 PM",Swimming,Swim,Via RunGap,1740,983,NA,NA,FALSE,NA,64.5800018310547,NA,1740,1740,983,4.59999990463257,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,2016
14,770894581,"Oct 28, 2016, 3:39:52 PM",Santa Barbara - Montecito,Run,Via RunGap,4196,10.12,153,18,FALSE,NA,64.5800018310547,NA,4196,4186,10119.099609375,4,NA,17.2032890319824,NA,1.60000002384186,19.2000007629395,11.3000001907349,0.00197646045126021,NA,NA,78.6041259765625,93,153,137.319671630859,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.93333333333334,0.25738798856053385,2016
15,770894627,"Oct 25, 2016, 10:15:53 PM",Swimming,Swim,Via RunGap,2175,1715,NA,NA,FALSE,NA,64.5800018310547,NA,2175,2175,1715,4.59999990463257,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.25,NA,2016
16,770894631,"Oct 27, 2016, 3:42:39 PM",Santa Barbara - Montecito,Run,Via RunGap,4063,10,155,19,FALSE,NA,64.5800018310547,NA,4063,4063,10002,3.9000000953674303,NA,17.482608795166,NA,1.29999995231628,19.2000007629395,10.6000003814697,0.00399920018389821,NA,NA,78.8986053466797,96,155,139.09733581543,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.71666666666667,0.2805808515874969,2016
17,770894678,"Oct 26, 2016, 3:36:57 PM",Santa Barbara - Montecito,Run,Via RunGap,3992,10.08,159,17,FALSE,NA,64.5800018310547,NA,3992,3968,10083.900390625,4.09999990463257,NA,17.2266807556152,NA,1.60000002384186,19.2000007629395,12.3000001907349,0.0069417585618794,NA,NA,79.684211730957,95,159,134.614898681641,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.53333333333333,0.2555110220440882,2016
18,770894731,"Oct 25, 2016, 6:00:58 PM",Balboa Building - Montecito,Run,Via RunGap,4061,9.8,160,16,FALSE,NA,64.5800018310547,NA,4061,3957,9799.099609375,5.90000009536743,NA,12.2227268218994,NA,1.70000004768372,14.6000003814697,11.3000001907349,0,NA,NA,77.6506271362305,114,160,131.190643310547,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.68333333333334,0.2363949766067471,2016
19,770894776,"Oct 24, 2016, 4:57:47 PM",Santa Barbara - Montecito,Run,Via RunGap,4199,10,162,17,FALSE,NA,64.5800018310547,NA,4199,4001,10003.7998046875,6.40000009536743,NA,10.9108228683472,NA,1.79999995231628,14.5,12,-0.0129950614646077,NA,NA,78.8251647949219,99,162,133.375625610352,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.98333333333333,0.242914979757085,2016
20,770894811,"Oct 23, 2016, 3:08:16 PM",Santa Barbara - Montecito,Run,Via RunGap,4103,10.11,150,16,FALSE,NA,64.5800018310547,NA,4103,4036,10114.7001953125,5.19999980926514,NA,17.2227745056152,NA,1.60000002384186,19.2000007629395,11.1000003814697,0.00197732006199658,NA,NA,78.7200012207031,94,150,132.180648803711,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.38333333333334,0.23397514014135995,2016
