rep,Activity ID,Activity Date,Activity Name,sport,Activity Description,duration,distance,Max Heart Rate...8,relative_effort,Commute...10,Activity Gear,Athlete Weight,Bike Weight,Elapsed Time...15,Moving Time,Distance...17,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Average Cadence,Max Cadence,Max Heart Rate...30,Average Heart Rate,Max Watts,Calories,Max Temperature,Average Temperature,Relative Effort...37,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute...48,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,duration_mins,relative_effort_min,year
355,770909723,"Oct 7, 2015, 3:38:37 PM",Santa Barbara - Montecito,Run,Via RunGap,3704,10,170,27,FALSE,NA,64.5800018310547,NA,3704,3695,10008.900390625,4.69999980926514,NA,17.1065158843994,NA,1.89999997615814,19.2000007629395,13.6999998092651,0.00299733248539269,NA,NA,79.7284088134766,90,170,144.166580200195,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.733333333333334,0.4373650107991361,2015
356,770909772,"Oct 6, 2015, 3:45:47 PM",Santa Barbara - Montecito,Run,Via RunGap,3881,9.84,155,62,FALSE,NA,64.5800018310547,NA,3881,3811,9845.7001953125,5.19999980926514,NA,0,NA,1.39999997615814,10.8999996185303,20.3999996185303,0.00914104655385017,NA,NA,79.0112152099609,89,155,133.884841918945,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.68333333333334,0.958515846431332,2015
357,770909804,"Oct 5, 2015, 4:47:51 PM",Storke Plaza - Montecito,Run,Via RunGap,4047,10.28,NA,NA,FALSE,NA,64.5800018310547,NA,4047,3859,10284.7001953125,5,NA,26.2835750579834,NA,0,14.3999996185303,42.2000007629395,0.00388927245512605,NA,NA,79.4169082641602,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.45,NA,2015
358,770909845,"Oct 4, 2015, 2:44:57 PM",Santa Barbara - Montecito,Run,Via RunGap,3974,10.16,145,63,FALSE,NA,64.5800018310547,NA,3974,3974,10160.099609375,3.59999990463257,NA,17.3992481231689,NA,1.29999995231628,19.2000007629395,11,0.00688969576731324,NA,NA,79.9512100219727,94,145,130.973159790039,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.23333333333333,0.9511826874685455,2015
359,770909888,"Oct 3, 2015, 3:19:37 PM",Santa Barbara - Montecito,Run,Via RunGap,3996,10.48,166,22,FALSE,NA,64.5800018310547,NA,3996,3873,10485.7998046875,4.69999980926514,NA,17.3111114501953,NA,1.39999997615814,19.2000007629395,16.2000007629395,0.00762936566025019,NA,NA,80.1977844238281,91,166,140.639022827148,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6,0.3303303303303304,2015
360,770909912,"Oct 1, 2015, 1:33:47 PM",Elia,Run,Via RunGap,3816,9.81,165,18,FALSE,NA,64.5800018310547,NA,3816,3736,9814.2001953125,6.19999980926514,NA,37.6500015258789,NA,154.600006103516,194.699996948242,4.90000009536743,-0.0163029078394175,NA,NA,79.9690093994141,94,165,134.749038696289,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.6,0.2830188679245283,2015
361,770909980,"Sep 30, 2015, 1:03:10 PM",Elia,Run,Via RunGap,3926,9.81,164,17,FALSE,NA,64.5800018310547,NA,3926,3850,9812,4.5,NA,37.6576919555664,NA,154.699996948242,194.300003051758,5,-0.00917244236916304,NA,NA,78.829704284668,94,164,133.526718139648,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.43333333333334,0.2598064187468161,2015
362,770910036,"Sep 29, 2015, 1:10:18 PM",Elia,Run,Via RunGap,3873,9.81,175,18,FALSE,NA,64.5800018310547,NA,3873,3775,9809.2001953125,5.59999990463257,NA,37.5287628173828,NA,154.699996948242,194.699996948242,5.5,-0.0132528645917773,NA,NA,78.8410873413086,87,175,134.789932250977,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.55,0.278853601859024,2015
363,770910070,"Sep 28, 2015, 12:04:30 PM",Elia,Run,Via RunGap,3940,9.8,172,19,FALSE,NA,64.5800018310547,NA,3940,3915,9801.2998046875,5.09999990463257,NA,37.8053703308106,NA,154.699996948242,194.899993896484,4.80000019073486,-0.0153040923178196,NA,NA,78.1726226806641,88,172,135.243560791016,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.66666666666667,0.2893401015228426,2015
364,770910139,"Sep 27, 2015, 1:01:41 PM",Elia,Run,Via RunGap,3844,9.860000000000001,175,22,FALSE,NA,64.5800018310547,NA,3844,3819,9864.7001953125,4.69999980926514,NA,37.7610015869141,NA,154.699996948242,194.899993896484,5.90000009536743,-0.013178301975131,NA,NA,79.2470626831055,88,175,135.787124633789,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.06666666666666,0.3433922996878252,2015
365,770910165,"Sep 26, 2015, 1:08:54 PM",Elia,Run,Via RunGap,3799,9.83,153,15,FALSE,NA,64.5800018310547,NA,3799,3745,9837,5.19999980926514,NA,38.9064407348633,NA,154.699996948242,194.899993896484,6.69999980926514,-0.00203314027749002,NA,NA,79.2064056396484,88,153,129.967971801758,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.31666666666667,0.23690444853908924,2015
366,770910234,"Sep 24, 2015, 1:14:00 PM",Elia,Run,Via RunGap,3874,9.84,163,20,FALSE,NA,64.5800018310547,NA,3874,3772,9845.2001953125,4.30000019073486,NA,37.7405738830566,NA,154.699996948242,194.699996948242,5.09999990463257,-0.0121886804699898,NA,NA,79.3258056640625,87,163,139.167739868164,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.56666666666666,0.30975735673722254,2015
367,770910274,"Sep 23, 2015, 12:45:24 PM",Elia,Run,Via RunGap,3673,9.83,168,21,FALSE,NA,64.5800018310547,NA,3673,3579,9831.5,5.5,NA,37.9633674621582,NA,154.699996948242,194.699996948242,5.40000009536743,-0.00915424898266792,NA,NA,79.1706008911133,94,168,141.741256713867,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.21666666666667,0.3430438333787095,2015
368,770910317,"Sep 22, 2015, 1:30:39 PM",Santa Barbara - Montecito,Run,Via RunGap,3876,10.04,151,17,FALSE,NA,64.5800018310547,NA,3876,3876,10044.7998046875,4.30000019073486,NA,17.2476196289063,NA,1.60000002384186,19.2000007629395,11.3000001907349,-0.00398215977475047,NA,NA,79.0396347045898,89,151,137.135696411133,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.6,0.26315789473684215,2015
369,770910343,"Sep 21, 2015, 1:33:20 PM",Santa Barbara - Montecito,Run,Via RunGap,3963,10.11,157,19,FALSE,NA,64.5800018310547,NA,3963,3935,10112.5,5.30000019073486,NA,17.2354755401611,NA,1.60000002384186,19.2000007629395,11.5,0.0088998768478632,NA,NA,78.6135177612305,86,157,137.623428344727,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.05,0.28766086298258897,2015
370,770910386,"Sep 20, 2015, 2:42:54 PM",Santa Barbara - Montecito,Run,Via RunGap,3797,9.92,164,25,FALSE,NA,64.5800018310547,NA,3797,3797,9922,4,NA,17.4165077209473,NA,1.5,19.2000007629395,17.5,0.0120943356305361,NA,NA,79.5935821533203,90,164,143.087707519531,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.28333333333333,0.3950487226757967,2015
371,770910430,"Sep 19, 2015, 2:45:45 PM",Santa Barbara - Montecito,Run,Via RunGap,3711,9.950000000000001,164,26,FALSE,NA,64.5800018310547,NA,3711,3707,9952,5,NA,17.2421054840088,NA,1.60000002384186,19.2000007629395,16.7000007629395,0.00100482313428074,NA,NA,79.2086410522461,93,164,144.236175537109,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.85,0.42037186742118027,2015
372,770910490,"Sep 17, 2015, 12:50:30 PM",Elia,Run,Via RunGap,3783,9.79,163,20,FALSE,NA,64.5800018310547,NA,3783,3713,9791.7001953125,5.19999980926514,NA,39.216800689697294,NA,154.699996948242,194.800003051758,5.30000019073486,0.00714891171082854,NA,NA,77.8623428344727,88,163,138.947448730469,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.05,0.3172085646312451,2015
373,770910531,"Sep 16, 2015, 3:26:10 PM",Santa Barbara - Montecito,Run,Via RunGap,3855,9.94,163,16,FALSE,NA,64.5800018310547,NA,3855,3823,9946,4.09999990463257,NA,17.4404754638672,NA,1.10000002384186,19.2000007629395,13.1999998092651,0.00703800516203046,NA,NA,78.4699554443359,90,163,131.506698608398,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.25,0.2490272373540856,2015
374,770910565,"Sep 15, 2015, 3:49:10 PM",Santa Barbara - Montecito,Run,Via RunGap,3656,9.639999999999999,162,22,FALSE,NA,64.5800018310547,NA,3656,3652,9640,4.80000019073486,NA,15.3958330154419,NA,1.5,17.7000007629395,13,0.00103734445292503,NA,NA,79.0730361938477,90,162,142.57275390625,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.93333333333333,0.36105032822757116,2015
375,770910611,"Sep 14, 2015, 4:05:36 PM",Santa Barbara - Montecito,Run,Via RunGap,3800,10,158,21,FALSE,NA,64.5800018310547,NA,3800,3779,10004.7001953125,4.40000009536743,NA,17.3898983001709,NA,1.20000004768372,19.2000007629395,11.6999998092651,0.00399812078103423,NA,NA,78.895149230957,89,158,140.87385559082,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.333333333333336,0.33157894736842103,2015
376,770910647,"Sep 13, 2015, 2:46:10 PM",Santa Barbara - Montecito,Run,Via RunGap,3868,9.96,161,20,FALSE,NA,64.5800018310547,NA,3868,3861,9968,4.40000009536743,NA,17.2641448974609,NA,1.5,19.2000007629395,15,0.00100321031641215,NA,NA,79.1163024902344,86,161,140.411849975586,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.46666666666667,0.3102378490175801,2015
377,770910688,"Sep 12, 2015, 2:38:58 PM",Santa Barbara - Montecito,Run,Via RunGap,3746,9.93,166,61,FALSE,NA,64.5800018310547,NA,3746,3746,9936.400390625,4.09999990463257,NA,16.9816665649414,NA,1.89999997615814,19.2000007629395,14.1000003814697,0.00905760657042265,NA,NA,78.4386520385742,90,166,152.460906982422,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.43333333333333,0.9770421783235451,2015
378,770910717,"Sep 10, 2015, 1:57:11 PM",Elia,Run,Via RunGap,3425,9.82,174,44,FALSE,NA,64.5800018310547,NA,3425,3391,9824.099609375,4.69999980926514,NA,39.2088775634766,NA,154.699996948242,194.699996948242,5.19999980926514,-0.00101790495682508,NA,NA,79.0541229248047,87,174,148.623489379883,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.083333333333336,0.7708029197080292,2015
379,770910794,"Sep 9, 2015, 3:48:12 PM",Santa Barbara - Montecito,Run,Via RunGap,3754,9.96,164,22,FALSE,NA,64.5800018310547,NA,3754,3754,9967,3.79999995231628,NA,17.2376480102539,NA,1.5,19.2000007629395,14.3000001907349,0,NA,NA,78.7293930053711,87,164,143.281448364258,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.56666666666667,0.3516249334043687,2015
380,770910844,"Sep 8, 2015, 1:42:34 PM",Santa Barbara - Montecito,Run,Via RunGap,3627,9.629999999999999,164,20,FALSE,NA,64.5800018310547,NA,3627,3627,9635.7998046875,3.9000000953674303,NA,15.3463640213013,NA,1.20000004768372,17.3999996185303,11,-0.00103779649361968,NA,NA,79.3853225708008,88,164,140.981857299805,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.45,0.3308519437551695,2015
381,770910880,"Sep 7, 2015, 2:41:05 PM",Santa Barbara - Montecito,Run,Via RunGap,3949,10.07,164,21,FALSE,NA,64.5800018310547,NA,3949,3946,10077.2001953125,4.69999980926514,NA,17.1967525482178,NA,1.70000004768372,19.2999992370605,13.1999998092651,0.0129004092887044,NA,NA,78.0793228149414,89,164,138.559951782227,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.81666666666666,0.31906811851101546,2015
382,770910908,"Sep 6, 2015, 2:23:27 PM",Santa Barbara - Montecito,Run,Via RunGap,3898,10.229999999999999,160,21,FALSE,NA,64.5800018310547,NA,3898,3898,10230.099609375,4.30000019073486,NA,17.3438930511475,NA,1.5,19.2000007629395,11.5,0.00293252267874777,NA,NA,78.5014419555664,91,160,142.264907836914,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.96666666666667,0.32324268855823496,2015
383,770910959,"Sep 4, 2015, 3:39:05 PM",Santa Barbara - Montecito,Run,Via RunGap,3915,10.209999999999999,159,18,FALSE,NA,64.5800018310547,NA,3915,3907,10212,4,NA,16.0406017303467,NA,1.39999997615814,18.2999992370605,13.3000001907349,-0.00195848010480404,NA,NA,78.4499588012695,87,159,139.113922119141,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.25,0.27586206896551724,2015
384,770910993,"Sep 3, 2015, 4:27:23 PM",Balboa Building - Montecito,Run,Via RunGap,4119,10.209999999999999,161,22,FALSE,NA,64.5800018310547,NA,4119,3918,10216.900390625,5.69999980926514,NA,14.1734209060669,NA,0.100000001490116,14.6000003814697,12.3999996185303,0.00195754086598754,NA,NA,78.1640396118164,86,161,140.616989135742,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.65,0.32046613255644574,2015
385,770911050,"Sep 2, 2015, 3:48:44 PM",Santa Barbara - Montecito,Run,Via RunGap,4046,10.43,170,68,FALSE,NA,64.5800018310547,NA,4046,4018,10430.2998046875,4,NA,17.3532466888428,NA,1.29999995231628,19.2000007629395,11.8000001907349,0.00958745181560516,NA,NA,78.3328247070313,88,170,140.451644897461,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.43333333333334,1.0084033613445378,2015
386,770911096,"Sep 1, 2015, 1:57:03 PM",Santa Barbara - Montecito,Run,Via RunGap,3516,9.77,171,39,FALSE,NA,64.5800018310547,NA,3516,3516,9778.2998046875,4.09999990463257,NA,21.0666675567627,NA,0,12.6999998092651,33.5999984741211,0,NA,NA,79.8748168945313,93,171,148.596420288086,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.6,0.6655290102389079,2015
387,770911165,"Aug 31, 2015, 3:44:03 PM",Balboa Building - Montecito,Run,Via RunGap,3914,10.02,164,21,FALSE,NA,64.5800018310547,NA,3914,3811,10021.099609375,4.59999990463257,NA,12.0976190567017,NA,1.79999995231628,14.6000003814697,12.1999998092651,-0.00199578888714314,NA,NA,78.3320770263672,112,164,141.552749633789,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.23333333333333,0.3219213081246806,2015
388,770911187,"Aug 30, 2015, 2:13:33 PM",Santa Barbara - Montecito,Run,Via RunGap,3933,10.08,166,23,FALSE,NA,64.5800018310547,NA,3933,3930,10079.2001953125,5,NA,15.171817779541,NA,1.29999995231628,17.3999996185303,20.5,0.011905706487596,NA,NA,79.3658599853516,89,166,142.196716308594,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.55,0.3508771929824562,2015
389,770911270,"Aug 28, 2015, 6:22:57 AM",Shaldon - Dawlish,Run,Via RunGap,4036,10.209999999999999,168,69,FALSE,NA,64.5800018310547,NA,4036,3943,10213.5,4.80000019073486,NA,198.441619873047,NA,0,23.5,50,-0.00587457790970802,NA,NA,78.9973907470703,108,168,140.687118530273,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.26666666666667,1.0257680872150645,2015
390,770911296,"Aug 27, 2015, 6:22:05 AM",Shaldon - Dawlish,Run,Via RunGap,4146,10.19,168,21,FALSE,NA,64.5800018310547,NA,4146,4092,10198.7001953125,5.5,NA,198.640060424805,NA,0,26,49.5,-0.0107856886461377,NA,NA,78.5802612304688,93,168,133.656494140625,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.1,0.3039073806078148,2015
391,770911353,"Aug 26, 2015, 6:33:41 AM",Shaldon - Dawlish,Run,Via RunGap,4112,10.2,162,20,FALSE,NA,64.5800018310547,NA,4112,4101,10207.900390625,4.19999980926514,NA,197.944702148438,NA,-0.100000001490116,25.2000007629395,49.5,-0.00195926683954895,NA,NA,78.6620635986328,94,162,134.781478881836,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.53333333333333,0.2918287937743191,2015
392,770911389,"Aug 25, 2015, 7:02:47 AM",Shaldon - Dawlish,Run,Via RunGap,3813,10.209999999999999,159,17,FALSE,NA,64.5800018310547,NA,3813,3772,10210,5.5,NA,209.079254150391,NA,-0.100000001490116,20.7000007629395,49.5999984741211,0.00293829571455717,NA,NA,79.5501861572266,119,159,135.327301025391,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.55,0.2675059008654603,2015
393,770911426,"Aug 23, 2015, 6:06:47 AM",Stivichall - Canley,Run,Via RunGap,4117,10.08,143,14,FALSE,NA,64.5800018310547,NA,4117,4077,10080.7001953125,4.5,NA,56.4933738708496,NA,73.1999969482422,110.900001525879,7.59999990463257,-0.0039679785259068,NA,NA,79.1573333740234,86,143,125.492485046387,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.61666666666666,0.20403206218119993,2015
394,770911475,"Aug 22, 2015, 6:08:36 AM",Stivichall,Run,Via RunGap,3865,9.94,154,59,FALSE,NA,64.5800018310547,NA,3865,3829,9945.900390625,4.30000019073486,NA,66.1754302978516,NA,73.1999969482422,108.099998474121,6,0.00301631819456816,NA,NA,79.9462966918945,89,154,131.720550537109,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.41666666666667,0.9159120310478653,2015
395,770911526,"Aug 21, 2015, 6:30:07 AM",Shaldon - Dawlish,Run,Via RunGap,3969,10.239999999999998,174,19,FALSE,NA,64.5800018310547,NA,3969,3934,10248.2998046875,5,NA,205.177474975586,NA,0,23.8999996185303,50,-0.0214669741690159,NA,NA,79.5064086914063,103,174,134.422225952148,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.15,0.2872260015117158,2015
396,770911559,"Aug 20, 2015, 7:11:13 AM",Shaldon - Dawlish,Run,Via RunGap,3881,10.219999999999999,159,17,FALSE,NA,64.5800018310547,NA,3881,3846,10219,4.80000019073486,NA,196.930358886719,NA,-0.100000001490116,20.3999996185303,49,-0.0166356787085533,NA,NA,80.6011123657227,103,159,134.953735351563,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.68333333333334,0.26281886111826847,2015
397,770911592,"Aug 19, 2015, 6:34:35 AM",Shaldon - Dawlish,Run,Via RunGap,3828,10.19,164,19,FALSE,NA,64.5800018310547,NA,3828,3808,10191,4.80000019073486,NA,203.921173095703,NA,0,24.5,50,0.030418997630477,NA,NA,80.75,123,164,136.204635620117,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.8,0.29780564263322884,2015
398,770911640,"Aug 18, 2015, 6:49:29 AM",Shaldon - Dawlish,Run,Via RunGap,3730,10.28,172,27,FALSE,NA,64.5800018310547,NA,3730,3710,10287.7001953125,5.30000019073486,NA,175.076202392578,NA,-0.400000005960465,23.7000007629395,49.2000007629395,-0.00486017297953367,NA,NA,81.4262313842773,108,172,142.002731323242,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.166666666666664,0.4343163538873995,2015
